Datum,Mahlzeit,Kalorien,Fett (g),Gesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Transfettsäuren,Cholesterin,Natrium (mg),Kalium,Kohlenhydrate (g),Ballaststoffe,Zucker,Eiweiß (g),Vitamin A,Vitamin C,Kalzium,Eisen,export_headers.note
2024-01-17,Mittagessen,1588.1,38.7,3.6,0.0,0.0,0.0,0.0,1.7,0.0,85.1,0.1,7.9,214.3,0.0,15.0,15.0,0.0,
2024-01-18,Abendessen,186.0,4.2,2.8,0.0,0.0,0.0,0.0,0.6,0.0,21.6,0.0,7.2,15.4,0.0,0.0,0.0,0.0,
2024-01-18,Frühstück,878.5,25.0,5.7,0.2,0.0,0.0,0.0,1345.7,577.5,58.1,4.7,25.0,106.9,0.0,108.4,34.2,1.0,
2024-01-18,Snacks,805.0,33.5,15.6,0.0,0.0,0.0,0.0,641.8,208.0,18.2,0.0,15.0,105.3,0.0,0.0,16.6,0.0,
2024-01-19,Frühstück,1608.0,55.4,0.4,0.0,0.0,0.0,0.0,1060.9,433.2,143.0,0.5,7.7,121.6,0.0,114.0,1.3,13.3,
2024-01-20,Frühstück,2089.7,71.8,16.6,4.8,9.2,0.1,327.7,1593.4,889.1,171.2,0.5,20.2,177.8,3.5,0.0,19.7,15.6,
2024-01-21,Abendessen,1182.2,46.3,9.6,4.8,9.2,0.1,327.7,252.8,681.1,96.5,2.1,33.1,89.2,3.5,0.0,3.1,15.6,
2024-01-21,Mittagessen,853.0,22.5,10.0,0.0,0.0,0.0,0.0,1340.5,208.0,61.6,0.5,27.5,98.7,0.0,0.0,16.6,0.0,
2024-01-22,Mittagessen,1579.6,38.1,14.8,0.1,0.1,0.0,0.0,2523.6,788.6,169.5,7.7,183.1,149.1,0.0,50.1,17.5,0.7,
2024-01-23,Abendessen,1037.5,21.9,10.7,0.2,0.0,0.0,0.0,7.9,369.5,107.6,4.1,35.5,105.8,0.0,93.4,2.6,1.0,
2024-01-23,Frühstück,304.0,8.0,5.4,0.0,0.0,0.0,0.0,640.0,208.0,8.3,0.0,7.0,49.5,0.0,0.0,16.6,0.0,
2024-01-24,Abendessen,875.3,38.6,15.3,0.0,0.0,0.0,0.0,541.6,0.0,26.8,3.8,1.2,106.2,0.0,0.0,0.0,0.0,
2024-01-24,Frühstück,1059.5,24.9,15.9,0.2,0.0,0.0,0.0,1984.9,785.5,99.4,7.1,69.8,117.2,0.0,93.4,35.8,1.0,
2024-01-25,Abendessen,858.3,9.7,4.3,0.2,0.0,0.0,0.0,557.4,780.0,70.5,7.9,1.9,120.5,0.4,23.0,17.0,22.0,
2024-01-25,Frühstück,927.0,17.6,11.1,0.0,0.0,0.0,0.0,1341.2,208.0,89.7,5.5,53.4,107.0,0.0,0.0,16.6,0.0,
2024-01-26,Frühstück,1331.1,41.3,26.4,0.0,0.0,0.0,0.0,641.8,208.0,87.5,0.0,19.8,151.8,0.0,0.0,16.6,0.0,
2024-01-27,Frühstück,1421.0,56.0,9.9,0.0,0.0,0.0,0.0,640.7,458.0,99.9,2.4,10.5,128.4,0.0,0.0,16.6,0.0,
2024-01-28,Frühstück,1691.0,63.9,13.2,0.0,0.0,0.0,0.0,8340.2,125.0,147.6,19.9,23.3,143.5,0.0,0.0,0.0,0.0,
2024-01-29,Frühstück,216.0,0.8,0.4,0.0,0.0,0.0,0.0,0.2,0.0,2.8,0.0,1.2,50.0,0.0,0.0,0.0,0.0,
2024-01-29,Mittagessen,1348.8,51.8,19.0,0.0,0.0,0.0,0.0,2858.1,0.0,90.4,0.5,16.5,129.0,0.0,0.0,0.0,0.0,
2024-01-30,Mittagessen,584.6,22.7,10.2,0.0,0.0,0.0,0.0,1180.1,208.0,22.1,5.5,9.0,75.3,0.0,0.0,16.6,0.0,
