Datum,Training,Typ,Kalorien aus Training,Minuten für dieses Training,Serien,Wdh. pro Serie,Kilogramm,Schritte,export_headers.note
2023-06-06,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,304.0,30,,,,,
2023-06-06,"""Stepper-Heimtrainer, allgemein""",Ausdauer,205.0,16,,,,,
2023-06-06,Crosstrainer,Ausdauer,246.0,21,,,,,
2023-06-06,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-07,"""Laufen (Joggen), 8 km/h (7,5 Min. pro km)""",Ausdauer,178.0,15,,,,,
2023-06-07,Crosstrainer,Ausdauer,123.0,10,,,,,
2023-06-07,Krafttraining (Gewichtheben),Ausdauer,449.0,58,,,,,
2023-06-07,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-08,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,345.0,30,,,,,
2023-06-08,"""Laufen (Joggen), 8 km/h (7,5 Min. pro km)""",Ausdauer,56.0,5,,,,,
2023-06-08,"""Stepper-Heimtrainer, allgemein""",Ausdauer,183.0,15,,,,,
2023-06-08,Crosstrainer,Ausdauer,234.0,20,,,,,
2023-06-08,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-09,Krafttraining (Gewichtheben),Ausdauer,455.0,45,,,,,
2023-06-09,MFP iOS calorie adjustment,Ausdauer,20.0,1,,,,,
2023-06-10,"""Aerobic, allgemein""",Ausdauer,57.0,6,,,,,
2023-06-10,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,256.0,30,,,,,
2023-06-10,Crosstrainer,Ausdauer,323.0,30,,,,,
2023-06-10,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-11,"""Schwimmen, Wassertreten, mäßig""",Ausdauer,38.0,4,,,,,
2023-06-11,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-12,MFP iOS calorie adjustment,Ausdauer,44.0,1,,,,,
2023-06-13,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,245.0,20,,,,,
2023-06-13,Crosstrainer,Ausdauer,73.0,7,,,,,
2023-06-13,Krafttraining (Gewichtheben),Ausdauer,425.0,57,,,,,
2023-06-13,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-14,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,298.0,30,,,,,
2023-06-14,"""Stepper-Heimtrainer, allgemein""",Ausdauer,232.0,23,,,,,
2023-06-14,Crosstrainer,Ausdauer,262.0,25,,,,,
2023-06-14,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-15,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,180.0,15,,,,,
2023-06-15,Crosstrainer,Ausdauer,116.0,10,,,,,
2023-06-15,Krafttraining (Gewichtheben),Ausdauer,408.0,55,,,,,
2023-06-15,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-16,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,336.0,30,,,,,
2023-06-16,Crosstrainer,Ausdauer,396.0,30,,,,,
2023-06-23,Crosstrainer,Ausdauer,114.0,10,,,,,
2023-06-23,Krafttraining (Gewichtheben),Ausdauer,300.0,53,,,,,
2023-06-27,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,54.0,5,,,,,
2023-06-27,Crosstrainer,Ausdauer,71.0,7,,,,,
2023-06-27,Krafttraining (Gewichtheben),Ausdauer,309.0,40,,,,,
2023-06-30,Crosstrainer,Ausdauer,56.0,6,,,,,
2023-06-30,Krafttraining (Gewichtheben),Ausdauer,361.0,54,,,,,
2023-07-04,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,77.0,6,,,,,
2023-07-04,Crosstrainer,Ausdauer,75.0,6,,,,,
2023-07-04,Krafttraining (Gewichtheben),Ausdauer,462.0,56,,,,,
2023-07-05,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,388.0,30,,,,,
2023-07-05,Crosstrainer,Ausdauer,415.0,30,,,,,
2023-07-06,Crosstrainer,Ausdauer,82.0,7,,,,,
2023-07-06,Krafttraining (Gewichtheben),Ausdauer,429.0,50,,,,,
2023-07-08,Crosstrainer,Ausdauer,91.0,8,,,,,
2023-07-08,Krafttraining (Gewichtheben),Ausdauer,312.0,46,,,,,
2023-07-08,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-09,MFP iOS calorie adjustment,Ausdauer,95.0,1,,,,,
2023-07-10,MFP iOS calorie adjustment,Ausdauer,272.0,1,,,,,
2023-07-11,MFP iOS calorie adjustment,Ausdauer,188.0,1,,,,,
2023-07-12,MFP iOS calorie adjustment,Ausdauer,112.0,1,,,,,
2023-07-13,MFP iOS calorie adjustment,Ausdauer,118.0,1,,,,,
2023-07-14,MFP iOS calorie adjustment,Ausdauer,146.0,1,,,,,
2023-07-15,MFP iOS calorie adjustment,Ausdauer,101.0,1,,,,,
2023-07-16,MFP iOS calorie adjustment,Ausdauer,251.0,1,,,,,
2023-07-17,MFP iOS calorie adjustment,Ausdauer,66.0,1,,,,,
2023-07-18,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,144.0,12,,,,,
2023-07-18,Crosstrainer,Ausdauer,53.0,6,,,,,
2023-07-18,Krafttraining (Gewichtheben),Ausdauer,384.0,59,,,,,
2023-07-18,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-19,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,160.0,15,,,,,
2023-07-19,"""Stepper-Heimtrainer, allgemein""",Ausdauer,128.0,10,,,,,
2023-07-19,Crosstrainer,Ausdauer,320.0,30,,,,,
2023-07-19,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-20,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,114.0,10,,,,,
2023-07-20,Crosstrainer,Ausdauer,75.0,6,,,,,
2023-07-20,Krafttraining (Gewichtheben),Ausdauer,322.0,50,,,,,
2023-07-20,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-07-21,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,439.0,69,,,,,
